file,original_rows,cleaned_rows,rows_trimmed,pct_trimmed
subject_21/session_12/eyes_closed.csv,4037,3739,298,7.4
subject_21/session_12/eyes_open.csv,4008,3521,487,12.2
subject_21/session_13/eyes_closed.csv,4033,3645,388,9.6
subject_21/session_13/eyes_open.csv,4058,3418,640,15.8
subject_21/session_14/eyes_closed.csv,60101,59758,343,0.6
subject_21/session_14/eyes_open.csv,38922,38489,433,1.1
subject_21/session_2/eyes_closed.csv,4076,3778,298,7.3
subject_21/session_2/eyes_open.csv,4265,3571,694,16.3
subject_21/session_3/eyes_closed.csv,4077,3599,478,11.7
subject_21/session_3/eyes_open.csv,4265,3571,694,16.3
subject_21/session_4/eyes_closed.csv,4017,3674,343,8.5
subject_21/session_4/eyes_open.csv,4270,3603,667,15.6
subject_21/session_5/eyes_closed.csv,4039,3426,613,15.2
subject_21/session_5/eyes_open.csv,4270,3603,667,15.6
subject_21/session_6/eyes_closed.csv,3959,3661,298,7.5
subject_21/session_6/eyes_open.csv,4029,3506,523,13.0
subject_21/session_7/eyes_closed.csv,3993,3533,460,11.5
subject_21/session_7/eyes_open.csv,4045,3567,478,11.8
subject_21/session_8/eyes_closed.csv,4029,3677,352,8.7
subject_21/session_8/eyes_open.csv,4021,3426,595,14.8
subject_21/session_9/eyes_closed.csv,4035,3683,352,8.7
subject_21/session_9/eyes_open.csv,4134,3566,568,13.7
