subject_id,session_id,label,mean,median,std,skewness,kurtosis,path_length,temporal_mean,temporal_median,temporal_std,temporal_skewness,temporal_kurtosis,temporal_path_length
subject_00,0,closed,0.0823844403695908,0.07589316688507489,0.039934722793918354,0.835323278475456,0.6012807806151912,0.018134051672398958,0.012866503960795073,0.012844149322316962,0.005275514785351975,0.3009099956812159,0.89648617516558,0.0010746610602126337
subject_00,0,open,0.17908602896581538,0.12014418342897766,0.19073271100832867,3.191239105689263,12.517956248521592,0.04042963771962867,0.12298199142637405,0.119345340712634,0.09651104283154167,1.2045024029126414,7.300750143105573,0.035962090318448554
subject_01,0,closed,0.13408854497762518,0.10736354847062242,0.10920223824067608,3.333977544144505,15.432160163402298,0.025808513463474105,0.038627186470696344,0.015555885244030215,0.055293561302805,0.49710350658573477,1.8744429550719586,0.0065234416152701105
subject_01,0,open,0.06439803383787046,0.05794158887885846,0.03447980480102825,1.1761360925131275,1.9960376719269615,0.017609404592212094,0.003194648155232755,0.0034974296212732796,0.0013345860288213453,0.1819463913302678,0.9794192348769816,0.0007225100405557246
subject_02,0,closed,0.09135221213393489,0.08117148424244608,0.05280111572886028,1.632061594730485,4.50771248560085,0.03496202140787649,0.0051590483405742,0.005486867958835818,0.002426170277545453,0.29286844988833083,1.8856033430994474,0.0010376620462556063
subject_02,0,open,0.07932015677959159,0.0647983847022123,0.05258406939619779,1.8142660879115393,5.061940554950555,0.030309084246287893,0.014558912584483268,0.016820112825052656,0.006972710181751941,0.2961629804189288,1.1818574952157266,0.002133093003867548
subject_03,0,closed,0.09686251715070454,0.08106414637906544,0.0598700840578891,1.4804958918010547,2.8067540994376,0.03994682638112285,0.008602070782205191,0.010128246073239618,0.004445638203734634,0.20600988983870522,0.7659191920871629,0.0027222877812063256
subject_03,0,open,0.07685303406557686,0.06606048829154386,0.04650455282975788,1.5503067982665137,3.543798034088927,0.031191172951313264,0.012831763252153626,0.01322908644655804,0.004158571182132333,0.13923875618614892,0.6007945109820594,0.0027765879673463897
subject_04,0,closed,0.11107412194988524,0.1093971683797989,0.05112743403918333,0.6970381655630101,1.4711188653790837,0.026745504365982248,0.01520890421341071,0.018557780197932017,0.01726817124238971,2.7629446205784216,38.75296953409666,0.011543293276374942
subject_04,0,open,0.3173871305915672,0.12012421319670422,0.5172177867777266,3.531447865722346,15.383236040726786,0.09607055454119945,0.31365247370981025,0.2068039035783149,0.2978460718721983,0.7486421804339932,4.149017630700589,0.0834638680761077
subject_05,0,closed,0.08501969197214836,0.07056192428138723,0.055567817714520455,2.0074243970491747,6.1859180263816,0.036312766359085584,0.010285953232666041,0.007458744299101895,0.009260222118104887,0.21964952781130542,1.411304974663704,0.0033383033193666828
subject_05,0,open,0.0903198599201664,0.07678052551713455,0.05798677211499733,2.0303792421551083,5.928448695078153,0.03894523425296587,0.005955199423252227,0.0045825347732939255,0.005232187685618329,0.21889421374787174,1.1070754900427435,0.002702671630677903
subject_05,1,closed,0.12205399539793882,0.10033775278664483,0.08725501681887175,2.35511586226194,7.735564639532187,0.05190439838401806,0.015566127246559236,0.011728677203965705,0.016038368871883382,0.3186542939734991,1.86916986005515,0.0027391418572965324
subject_05,1,open,0.10386172170229217,0.0853616298302069,0.07272488386376108,2.7461996606527626,16.508303116638334,0.04297215478736605,0.011031540645802473,0.008228129056650683,0.01544873402898848,0.5266788837130354,4.735875182799265,0.004357480017650945
subject_05,2,closed,0.1520900354604978,0.13175325335338686,0.10378805225520381,3.8150651757436416,32.25046099335808,0.05798307928734326,0.02534060582027264,0.016775523304157505,0.0338310820571318,1.2807623716400922,11.471303368451625,0.009263932157217367
subject_05,2,open,0.10145420126595942,0.08442221912527491,0.0677230036458177,2.1973639586842815,8.287080575183973,0.04115805214969691,0.015565235263031234,0.010909942906711231,0.015091235777348149,0.39226196196320057,2.538227956590638,0.0057064372852387996
subject_05,3,closed,0.12050851043899706,0.11008191154246394,0.06311812155942237,1.3442985264699079,3.239943049052849,0.04602369515139082,0.01670200310392207,0.01368852414788804,0.012103852648445502,0.22431841873110941,0.8521050700645956,0.00857249069954224
subject_05,3,open,0.0975971233286062,0.08534588033701354,0.05946261349763284,1.9936031949995279,7.0258386208799735,0.03838717758850087,0.011971363776228452,0.008193719328090635,0.012681551848074868,0.5381275901484052,2.6763333410608503,0.0025329636329613813
subject_05,4,closed,0.12456616228437645,0.11194903546381256,0.06581345924490006,1.6336067390218139,5.188732770611887,0.04974692499394938,0.008774656328965354,0.005995386285164898,0.010667823167680302,0.2912825683004852,1.834305141707486,0.007691259501748969
subject_05,4,open,0.24044876604905743,0.10954521306137086,0.46361541623046826,6.064012375294079,52.2766749060897,0.08032103892240229,0.22944086742218936,0.12934372082395212,0.31387198187318227,0.8215919275155638,4.053390688894816,0.06779080858977357
subject_05,5,closed,0.14403479593229648,0.1292580839595275,0.08009101530309186,1.4907194621010982,3.8045708509250433,0.054394893690733206,0.013034248757519759,0.013975625706286682,0.00720225861358853,0.2757558785198964,1.4591109745717437,0.006088630667117641
subject_05,5,open,0.11382503360921536,0.09983541238081395,0.06505911464232132,1.5777002588550626,3.93333967893504,0.04448933786360213,0.014662585008356993,0.014510477191719119,0.006811621112773855,0.25156398325996765,1.3776247309231227,0.00463763907049477
subject_05,6,closed,0.145856928099917,0.13428294423225334,0.07248041084928894,1.187380296288341,2.857369458507205,0.04895611175996789,0.008624780397314335,0.007275377241347488,0.007716858613892447,0.23564442793398302,2.055496969989088,0.003986015915320309
subject_05,6,open,0.11137788981111711,0.08893238090601929,0.0920657431705602,4.383704822007975,31.922702879986836,0.04547296821590429,0.036470432171804526,0.020799761551496296,0.04350957904119965,0.42926534959068696,2.462726043295819,0.016525549656218802
subject_05,7,closed,0.16802790433144757,0.1513879962317351,0.08946764653625144,1.3975095648207496,3.392043386719643,0.05664985064295628,0.007965497968355708,0.006103413734939853,0.010153901390909801,0.24566489022854723,1.0356160505193908,0.004133738374268798
subject_05,7,open,0.12217561715100013,0.10790707178717185,0.08245203111455036,3.5634546559829294,25.63759698954918,0.04773491031824852,0.01354752457486945,0.008456074514911174,0.025821787031119526,0.9729541515146763,5.969103536282545,0.008337694389097539
subject_06,0,closed,0.1939657927317987,0.17703615734974765,0.10007642744306974,1.4039783714026872,3.8806731974057316,0.05533917888477967,0.01923513431547989,0.017558142037357914,0.00998637132894446,0.3685830954661779,1.7586013452259535,0.002871578800662268
subject_06,0,open,0.13520347972276345,0.12473752921309522,0.06488148287575786,1.0128179172452536,1.9574148243383824,0.04392206191898016,0.011153503120685282,0.010415177895148153,0.005583815876517469,0.16667562035369288,0.9847918217223124,0.0032696244176288972
subject_06,1,closed,0.18351790443374008,0.16655565350084262,0.10315264335846036,2.5179361257880517,16.937073998121715,0.054225250233923945,0.03140759681563028,0.027265849510261033,0.026096569193233606,1.0857604846874622,8.446975107428935,0.008678511985113152
subject_06,1,open,0.12154014106357912,0.114220048937003,0.05891877837131191,0.7772265591719822,0.7740014582344266,0.041042996680536,0.009263331563532207,0.011348749834901745,0.002349697548892899,0.2384644818038816,0.7093647913422272,0.0034102283865457086
subject_06,2,closed,0.15210168213003564,0.13702345178620018,0.08483028430012379,1.7789796973857095,6.061733801270176,0.03886268514335196,0.01747640257765666,0.014488410270439086,0.020536975294055963,0.44523878326694105,1.6650652993995736,0.003548116311460221
subject_06,2,open,0.12213214981177804,0.11374178128691538,0.06232309664765533,1.517152803087056,5.632768039673525,0.030742637551916613,0.016347058071258344,0.012993400755533051,0.013562085559545592,0.5627859540186334,2.115107818919448,0.0029167903909583354
subject_06,3,closed,0.15559006651975069,0.13789327482192817,0.08800121220459053,1.7574214706140676,6.128335042713818,0.0403653596327579,0.011362843778391023,0.0060382037240874,0.017472452717608937,0.42938500529084184,1.8671526393864408,0.0010950980166985758
subject_06,3,open,0.12532207771023823,0.11055004402311402,0.06762069232243546,1.409717515464492,3.2231165741832317,0.03602221890608994,0.01729619381015571,0.013299201124614605,0.014372060932430817,0.2552039051732009,0.8500824699667985,0.0037382723507020706
subject_06,4,closed,0.19187312140677673,0.17255827781517907,0.10302523983483733,1.2667669915527977,2.9291801841162064,0.055888532873983904,0.01874007689061908,0.01746194194922112,0.012212964282246672,0.31137784107202626,1.7359524782320546,0.0035382394538497623
subject_06,4,open,0.11780652277994676,0.10732913671538702,0.06214192004365006,1.4228629265154913,3.5459289304135257,0.03357390957108306,0.021314765916561673,0.01876315863268545,0.012629613207324114,0.23047619669076466,0.7761408599675883,0.0036748791782785875
subject_07,0,closed,0.06013753048420253,0.055172835495721176,0.0310806787623116,1.3519565072971396,3.380249663885463,0.01687165796223699,0.013806322066237019,0.0123884574959161,0.006936494670054411,0.1305451828781523,0.41154956329984643,0.0009331336197897458
subject_07,0,open,0.06175019201935074,0.05160199888098277,0.06367984807262006,10.224676333606807,160.28531643986966,0.020863206430350497,0.019935508147752565,0.00971346647225157,0.041085385897405874,1.6195792517281928,13.14075586879189,0.009278933513211378
subject_08,0,closed,0.09378132422564969,0.08286775845366376,0.05515070504785711,1.6484536077764038,4.550387043033804,0.019664315962305893,0.01074340099229054,0.007037373205294957,0.011980615884366391,0.4564476055014799,1.2701443521194695,0.0019160110224350146
subject_08,0,open,0.10819956610049127,0.08644628809456356,0.08600770753056965,3.195496642284458,14.628256163824819,0.020583382242699177,0.04034100299366648,0.020119000834185104,0.04205819641610277,0.2800049157269928,0.8011042447225032,0.006948723466620699
subject_09,0,closed,0.10360878841438578,0.08911981240619646,0.06626868015031206,1.6945794348529488,4.553319498704523,0.022557559579444265,0.020848877569651855,0.015954714286066273,0.015560251245253667,0.32815899342859983,1.553890884700931,0.005508354740382062
subject_09,0,open,0.10329811197450949,0.08486544503133521,0.06104449854953896,1.6588114038342128,3.8090582656824186,0.022740258021575695,0.010225418867205238,0.007331176996526625,0.01629163366323626,0.4535211259475614,2.596798212432619,0.007550850293216373
subject_10,0,closed,0.015159380166740836,0.014747436807993938,0.006251941428682064,0.42685601567454357,0.11575897215337605,0.0067226823413535025,0.0007400604984598526,0.0007732089333826571,0.00032982747548641135,0.1234251027167912,0.27030142644899224,0.00040796256303426374
subject_10,0,open,0.02279142739038849,0.02091153942257528,0.014723920745835851,6.5937184976507375,65.81236152482553,0.009360378186109913,0.003593460325997967,0.0011408315961173305,0.008180361709728865,1.8034068620629111,14.2207523144624,0.0017799522691513035
subject_11,0,open,0.35254129977313065,0.31151553032614243,0.33539064654299494,4.701239069669856,46.72045887476298,0.04254377800757415,0.0961598734329856,0.14104172566763892,0.17999138939264703,1.8060734419172666,10.295032865336132,0.02046823514863519
