subject_id,session_id,label,mean,median,std,skewness,kurtosis,path_length
subject_00,0,closed,0.08260247753437804,0.07603167961388027,0.03984577302909133,0.8397064278031706,0.6103702933823536,54.38402096552447
subject_00,0,open,0.1796094985341792,0.12043884539988854,0.19088770168875877,3.188483535004856,12.488387146439246,121.24848352116636
subject_01,0,closed,0.13419267306479335,0.10747509380619688,0.1093894790975949,3.326301279582888,15.36096615347606,77.39973187695885
subject_01,0,open,0.06405610389926963,0.05771290809933237,0.03407852577708832,1.1781773136531535,2.0981506093650006,52.81060437204407
subject_02,0,closed,0.09133229466632214,0.08095273202829426,0.05289716213843261,1.630286873848493,4.483216844978123,104.8511022022216
subject_02,0,open,0.07946000749329761,0.0651263486028248,0.05263008881001619,1.8095840021516416,5.04306924685854,90.89694365461739
subject_03,0,closed,0.09666108276059537,0.08077348848231003,0.059887829322739304,1.491904828621258,2.838655733259162,119.80053231698741
subject_03,0,open,0.07677589027174794,0.0659441729555242,0.0465726247322798,1.553832902977607,3.539692845445403,93.54232768098848
subject_04,0,closed,0.10453603352792479,0.09590700473337108,0.05345338403305873,1.0481976044758838,1.8595496604302308,80.20976759358076
subject_04,0,open,0.3357012729167703,0.1343124014322957,0.5361361012327744,3.3575525738164704,13.88358638984236,288.1155930690571
subject_05,0,closed,0.0852216881081071,0.07072696220738794,0.05564789647473157,2.000261753383521,6.151880078188105,108.90198631089768
subject_05,0,open,0.09002701966503902,0.07694380315280024,0.057726061358401734,2.019573810862469,5.8959743255386385,131.81234774382494
subject_05,1,closed,0.1208680170276222,0.09983972109718126,0.08580300848064842,2.3509295601301345,7.833740696384259,166.81606382295834
subject_05,1,open,0.10212230729830908,0.08428772500505566,0.07140522785415362,2.737326173565298,16.423311017193612,140.34691216748288
subject_05,2,closed,0.15255361138248183,0.1320376974534592,0.10384175323563707,3.8184213692813214,32.28293609497262,173.89125478274244
subject_05,2,open,0.10029190520988382,0.08417640259836595,0.06587310574767097,2.2351366089311964,9.064807362378298,123.43299839694102
subject_05,3,closed,0.12058554164174083,0.11074760948602312,0.06326713279593184,1.3379487804673975,3.205883197522411,138.02506175902107
subject_05,3,open,0.15681731453270265,0.12302156922142356,0.15195541746917138,4.5302506102263775,26.19009422977783,159.34335858918368
subject_05,4,closed,0.1247095385672628,0.1123073482699177,0.06594744841616519,1.6257134713505983,5.148858996505375,149.19102805685418
subject_05,4,open,0.15528636052973974,0.12680098798161218,0.12067488091986713,3.862406112351901,26.520135884578163,180.06712668862474
subject_05,5,open,0.1169698467565677,0.10203703991516215,0.06962735353019425,1.6104697572230133,4.001213934923493,146.45097765768315
subject_05,6,open,0.10512193626130406,0.09393458639140854,0.057587343784063036,1.3681952393219596,3.0742709706758724,124.0229821036716
subject_05,7,open,0.11906864400028445,0.10526085551262837,0.06785774630978708,1.5216439635811967,3.783020449046483,144.87218583270214
subject_05,8,open,0.09776668827514608,0.08559438200296027,0.059563577805787304,1.9858229831852459,6.984894640514209,115.12314558791411
subject_05,9,open,0.09676671069473372,0.08426847856760242,0.058954550270319185,2.099494562948395,9.824861836925232,124.07344931035131
subject_05,10,open,0.11055940554513413,0.09448336349504835,0.06643914549307858,1.2809695891967778,1.8168433303164537,133.3553790340328
subject_05,11,open,0.1284780730621403,0.10639926091112718,0.09141637427316317,2.7888127312450326,15.484534562313954,144.13234709788344
subject_05,12,open,0.131137593975448,0.1179666087122924,0.07009668019364386,1.2766540972352634,2.308504279802424,155.21692318249967
subject_05,13,open,0.10864577395967583,0.09555944660468366,0.061011223633940515,1.6375107945007328,4.444540760591735,128.0032888031986
subject_05,14,open,0.13316750742055675,0.11054226356097847,0.09373915069730603,3.880337228886479,34.053910655879996,153.45812317221885
subject_05,15,open,0.24126445264040924,0.11028813355969959,0.4646356443473681,6.04937445019166,52.02554203884873,240.8827957282845
subject_05,16,closed,0.14408535836970884,0.12865334433026757,0.0803024648339257,1.4850244090401858,3.7655425181285356,163.13028617850887
subject_05,16,open,0.11394692331102163,0.10045359177183105,0.06519959178634759,1.5700517026492704,3.8964626446626003,133.4235242529428
subject_05,17,closed,0.14379317015816004,0.1274044291325691,0.08212408377927782,1.8735644566984688,6.485816345752921,162.8569817628403
subject_05,17,open,0.12180925504198684,0.10798877405968564,0.06817505674505712,1.483459127083479,3.4875606310281526,132.98460242570053
subject_05,18,closed,0.15299218650141325,0.12914099408800842,0.16892127897813516,16.27635780447014,399.7439286835454,167.1423412952666
subject_05,18,open,0.1270437252827841,0.10915947811424154,0.07595676280211765,1.7190054573600408,4.295636705366636,124.2284718753227
subject_05,19,closed,0.12632916008781658,0.11610217525501301,0.0643591405064442,1.4115661545615759,4.821326294481388,134.39532058388676
subject_05,19,open,0.11123967154239568,0.08879419637206361,0.09227607317326131,4.38003595367603,31.80547110873436,136.37343167949697
subject_05,20,closed,0.13928235622910043,0.1267081271945212,0.0764108095075842,1.8108644239651108,7.567663267260508,141.65377542778424
subject_05,20,open,0.10191127042569081,0.08716089350992551,0.05993766092335622,1.4494732758367594,2.9251506446033053,124.9948010283285
subject_05,21,closed,0.13765917463790717,0.12886118153861087,0.06808856655476894,1.0037196490946163,1.806577704456247,142.85183970166744
subject_05,21,open,0.10802361695067424,0.09003126482365671,0.08657602077097493,4.99248714717082,41.12693241209328,134.25722745552628
subject_05,22,closed,0.1626693126005609,0.1480328888386753,0.0891274530062652,1.8636617065635432,7.8282418719319296,161.44835235263002
subject_05,22,open,0.12276209662783852,0.10316968143605586,0.08487185174468637,3.4441148990726034,23.955024471583602,143.1569960444273
subject_05,23,closed,0.14959532480790377,0.13309442508661112,0.08321942706630245,1.7942412784252795,6.638621289859605,142.55046084439795
subject_05,24,closed,0.1462309489592316,0.13472825575002847,0.07249378386648493,1.1823851065739635,2.855274767730978,146.81937916814368
subject_05,25,closed,0.14662271221108136,0.13562841767907552,0.07321066110579413,1.4269861383104654,4.841779964460864,152.609097514387
subject_05,26,closed,0.18310027779721152,0.16056172100368743,0.13959571630298456,7.285074106338585,97.70681353008672,185.61390583264625
subject_05,27,closed,0.17178871634438514,0.1586036475736931,0.0875211543228675,1.5002490504786945,6.481488196333453,175.66687238197926
subject_05,28,closed,0.15959806103899166,0.146938253474174,0.07835810986800508,0.977920349842142,1.4161209786995501,162.57587095521714
subject_05,29,closed,0.1685467658991101,0.15451685713134541,0.08970401811603142,1.701020969229756,7.180481980366846,168.17521907395493
subject_05,30,closed,0.1731767097442644,0.1567697870934247,0.09407734851702673,1.6586993347670913,5.857549183385878,174.91103379874818
subject_05,31,closed,0.15534752658747134,0.1417813842123834,0.08178931772329404,1.4694492296631345,4.308470397392404,157.07121604279007
subject_05,32,closed,0.1685200798015668,0.15190519317408924,0.08945367377641222,1.3949484533977667,3.393506851252262,169.89290207822586
subject_06,0,closed,0.19372265080044884,0.17658470473492083,0.10028912203718832,1.4093224027891016,3.8724775364475867,165.96219747545422
subject_06,0,open,0.13502816745243285,0.12437343473835984,0.06499702873861185,1.0198031174852638,1.9575341426923059,131.7222636950215
subject_06,1,closed,0.18382899723307258,0.1672613358852418,0.10336357598928315,2.5086248599365204,16.856827771472858,162.62152545153788
subject_06,1,open,0.12129750916732164,0.11386816259941115,0.05898302976694234,0.7887629031219121,0.7887514220384206,123.08794704492746
subject_06,2,closed,0.15217892048335213,0.1372658875081938,0.08503614335056672,1.7722706670178348,6.01295150224443,116.54919274491255
subject_06,2,open,0.1225563721327469,0.11405138728488019,0.06219078624909284,1.5266342503884822,5.691222784682443,92.19717001819791
subject_06,3,closed,0.12705968426004702,0.11673159302775218,0.06329288893749162,0.9537932128560619,1.2223220896210725,102.80378659564325
subject_06,3,open,0.11314569758067747,0.10492382970448395,0.05256070066135005,1.0717737559583638,1.9912401327667109,91.68478650026663
