model,accuracy,precision,recall,f1,auc,mean_fold_accuracy,std_fold_accuracy
SVM (RBF kernel),0.5986,0.5775,0.6029,0.5899,0.6333,0.4766,0.2959
SVM (Linear),0.7394,0.7067,0.7794,0.7413,0.7705,0.6775,0.2097
Logistic Regression,0.7535,0.72,0.7941,0.7552,0.8056,0.6287,0.3014
